subject_id,group,location,strategy,fit_type,true_pcommon,recovered_pcommon,true_sigma_v,recovered_sigma_v,sigma_a,true_sigma_p,recovered_sigma_p,mu_p,recovery_error,recovery_bic,recovery_r2,recovered_strategy
LV001,Low Vision,visible,Averaging,mll,0.9477094478728416,0.9471292584797149,0.2617045322840552,0.2602647090378177,0.2,0.7113890609152548,0.635781650353372,1.5,479.7762215496621,984.4345920196304,0.9999884444268414,Averaging
LV002,Low Vision,visible,Selection,mll,0.9888691731854008,0.9993078271519301,0.4480537607799024,0.45946129891813486,0.2,0.1148299025929374,1.2270908674797896,1.5,404.7912122106296,834.4645733415654,0.9999887559115783,Selection
LV003,Low Vision,visible,Selection,mll,0.9999995678326016,0.9996645483933125,0.3610922709230577,0.3613695373649679,0.2,2.991729108031999,1.5376718569523173,1.5,431.6056009087787,888.0933507378635,0.9999981386982095,Selection
LV005,Low Vision,visible,Averaging,mll,0.9970763939350265,0.9972677674058171,0.32864069541433,0.32885367984538777,0.2,1.965510692317195,1.0185638655724065,1.5,567.1800332264926,1159.2422153732912,0.9999657895748678,Averaging
LV007,Low Vision,visible,Matching,mll,0.8938008440280522,0.9125559999387924,0.3891868975394088,0.3897754438903298,0.2,0.4810594710965708,0.7235753231757872,1.5,646.5312587727735,1317.944666465853,0.9999926177107775,Matching
LV008,Low Vision,visible,Averaging,mll,0.7081146861212565,0.6637004167977484,0.2494375802105521,0.26134373652143356,0.2,0.6916478116269005,0.808256306835772,1.5,323.7325378938913,672.3472247080887,0.9999867961478347,Averaging
LV009,Low Vision,visible,Matching,mll,0.0805238303706938,0.07483413548036727,0.2024568332578607,0.21034768236342605,0.2,1.891331954926901,2.110710385416889,1.5,161.61677518641457,348.1156992931352,0.999989119898994,Matching
LV011,Low Vision,visible,Averaging,mll,0.2350830763233953,0.34165261631868443,2.937084785096646,2.5972221806537066,0.2,1.4201134835675036,2.8886172878362513,1.5,1070.476275745185,2165.834700410676,0.9999458844102204,Averaging
LV015,Low Vision,visible,Averaging,mll,0.0667599525003403,0.050128735481822395,0.1613726062709295,0.1817988276786793,0.2,2.6274819507681983,2.25209315526164,1.5,84.48135083507401,193.84485059045412,0.9999966323788877,Averaging
LV016,Low Vision,visible,Averaging,mll,0.3866643997355832,0.34616981039494854,0.1237812451091654,0.1333975982063342,0.2,2.134989939666211,2.0728327657726426,1.5,68.0053108827396,160.89277068578528,0.9999957760738808,Averaging
LV017,Low Vision,visible,Selection,mll,0.3100805789656172,0.2902282957407928,0.123180595313955,0.1342195986539516,0.2,2.809023022831189,0.6927790111066847,1.5,62.04587973498049,148.97390839026707,0.9999820211837847,Selection
LV018,Low Vision,visible,Averaging,mll,0.9969029962007124,0.9975242432110295,0.33249484428687,0.3328845021433524,0.2,2.311918307228328,1.3545081672491717,1.5,563.186735075921,1151.255619072148,0.9999556483031149,Averaging
LV019,Low Vision,visible,Averaging,mll,0.9999993132819271,0.9999502080456567,0.3872376441417463,0.3868658077365002,0.2,2.584442746472019,1.1842179627104445,1.5,414.54478292294795,853.971714766202,0.9999962066043885,Averaging
LV020,Low Vision,visible,Matching,mll,0.8990961501749476,0.8966084995109289,0.7350935087458157,0.7394061713721968,0.2,1.9132939279965744,1.9342026445801734,1.5,638.8828636701179,1302.6478762605418,0.9999922365747581,Matching
LV021,Low Vision,visible,Averaging,mll,0.1344090932546187,0.0480517022618825,0.1789444974363883,0.18575931612968663,0.2,1.2198400344842557,2.1474938188308665,1.5,87.12472434257262,199.13159760545133,0.9999960096385103,Averaging
LV022,Low Vision,visible,Selection,mll,0.462100856550095,0.27927245394572164,0.1193204610924505,0.11389437278056044,0.2,0.1000071091869357,1.207797287719265,1.5,64.5922137582673,154.0665764368407,0.9999723016895236,Selection
LV023,Low Vision,visible,Matching,mll,0.9676794223943558,0.9577327705124453,0.4935972100201218,0.5146093040149312,0.2,1.112277990248048,1.216192907064562,1.5,587.6716200961823,1200.2253891126707,0.9999908473797344,Matching
LV024,Low Vision,visible,Matching,mll,0.56425957396058,0.6626123433075172,0.8268216111464336,0.9499975614484124,0.2,0.1018620056651464,0.9859471326227498,1.5,882.897838642959,1790.677826206224,0.9997051953316838,Matching
LV025,Low Vision,visible,Selection,mll,0.3788177135678369,0.4861808716488516,0.2886762142628717,0.2935493836803287,0.2,0.4534717365679348,0.3847407837740169,1.5,344.28534808816903,713.4528450966442,0.9999611306089521,Selection
SV103,Sighted Control,visible,Averaging,mll,0.949218825626362,0.9575498418692032,0.3310052682885436,0.34072185418335066,0.2,2.534437210884742,1.0818584044683983,1.5,592.4362707296585,1209.754690379623,0.9999861129025944,Averaging
SV110,Sighted Control,visible,Averaging,mll,0.9937702535244424,0.9929026328364241,0.3402978027233928,0.3422190438540267,0.2,1.6439640442009855,0.7941438940141768,1.5,580.2589800058458,1185.4001089319977,0.9999692925517801,Averaging
SV111,Sighted Control,visible,Matching,mll,0.99301588342355,0.9938795816780139,0.5154056746348643,0.5401833480378074,0.2,0.3799992090235772,2.810366120014316,1.5,453.49863105883094,931.879411037968,0.9999677158921514,Matching
SV113,Sighted Control,visible,Matching,mll,0.9999259453134154,0.999760047131454,0.3891302692573387,0.3845137823844097,0.2,2.5763394878087515,0.8624916929453972,1.5,423.33291377290925,871.5479764661246,0.9999965237694741,Matching
SV119,Sighted Control,visible,Averaging,mll,0.8858834540178241,0.8736815272054722,0.2744063768148245,0.2786536088994257,0.2,0.8034860416610294,0.6207498100559175,1.5,431.0328460487027,886.9478410177115,0.9999972249181187,Averaging
