subject_id,group,location,strategy,fit_type,true_pcommon,recovered_pcommon,true_sigma_v,recovered_sigma_v,sigma_a,true_sigma_p,recovered_sigma_p,mu_p,recovery_error,recovery_bic,recovery_r2,recovered_strategy
LV001,Low Vision,visible,Averaging,mll,0.9477094478728416,0.938997341798449,0.2617045322840552,0.2620035230783712,0.2,1.5,1.5,1.5,497.86636614725796,1012.3208315747199,0.9999969426747299,Averaging
LV002,Low Vision,visible,Selection,mll,0.9888691731854008,0.9829671204735173,0.4480537607799024,0.45781585633785304,0.2,1.5,1.5,1.5,497.61568797332774,1011.8194752268595,0.999990708792186,Selection
LV003,Low Vision,visible,Selection,mll,0.9999995678326016,0.9996607291238047,0.3610922709230577,0.361375095171162,0.2,1.5,1.5,1.5,431.6056009087787,879.7993010977614,0.9999981386982095,Selection
LV005,Low Vision,visible,Averaging,mll,0.9970763939350265,0.9961955339822745,0.32864069541433,0.3273295872294622,0.2,1.5,1.5,1.5,572.6895587189754,1161.9672167181548,0.9999719202379448,Averaging
LV007,Low Vision,visible,Matching,mll,0.8938008440280522,0.9041756197038884,0.3891868975394088,0.3910596597379993,0.2,1.5,1.5,1.5,631.2330038889291,1279.0541070580623,0.9999971388557556,Matching
LV008,Low Vision,visible,Averaging,mll,0.7081146861212565,0.7111869356348968,0.2494375802105521,0.2607255039449236,0.2,1.5,1.5,1.5,358.5577342192956,733.7035677187952,0.9999896197323026,Averaging
LV009,Low Vision,visible,Matching,mll,0.0805238303706938,0.09067135755975295,0.2024568332578607,0.21111073977680073,0.2,1.5,1.5,1.5,159.36983018273978,335.3277596456836,0.9999901893330967,Matching
LV011,Low Vision,visible,Averaging,mll,0.2350830763233953,0.2341848075669674,2.937084785096646,2.527163977089746,0.2,1.5,1.5,1.5,1071.7863579348991,2160.1608151500022,0.9999278463421428,Averaging
LV015,Low Vision,visible,Averaging,mll,0.0667599525003403,0.02625730424661295,0.1613726062709295,0.17158963881130193,0.2,1.5,1.5,1.5,70.24565761683252,157.0794145138691,0.9999963702478287,Averaging
LV016,Low Vision,visible,Averaging,mll,0.3866643997355832,0.19516219033451407,0.1237812451091654,0.12954090994088474,0.2,1.5,1.5,1.5,52.97855433324811,122.54520794670029,0.9999988976392618,Averaging
LV017,Low Vision,visible,Selection,mll,0.3100805789656172,0.21463858243935943,0.123180595313955,0.12675966916693748,0.2,1.5,1.5,1.5,59.45328399461009,135.49466726942424,0.9999836561962886,Selection
LV018,Low Vision,visible,Averaging,mll,0.9969029962007124,0.9961538759290698,0.33249484428687,0.32994266275104045,0.2,1.5,1.5,1.5,576.9113489821007,1170.4107972444053,0.9999490080381455,Averaging
LV019,Low Vision,visible,Averaging,mll,0.9999993132819271,0.9999551756102238,0.3872376441417463,0.3871470244296703,0.2,1.5,1.5,1.5,414.5479073372092,845.6839139546224,0.9999957141141856,Averaging
