sid,group,n_flash,n_beep,response,accuracy,rt,location
SV209,Sighted Control,0.0,0.0,0,1,6.608059499994852,21
SV209,Sighted Control,0.0,0.0,0,1,0.938951599993743,16
SV209,Sighted Control,0.0,0.0,0,1,1.1057505000208039,19
SV209,Sighted Control,0.0,0.0,0,1,1.7223771000280976,14
SV209,Sighted Control,0.0,0.0,0,1,1.0056647000019439,2
SV209,Sighted Control,0.0,0.0,0,1,0.9885000000067521,9
SV209,Sighted Control,0.0,0.0,0,1,1.472344499983592,1
SV209,Sighted Control,0.0,0.0,0,1,1.271349899994675,8
SV209,Sighted Control,0.0,0.0,0,1,2.1389472000009846,20
SV209,Sighted Control,0.0,0.0,0,1,1.2561572999984492,11
SV209,Sighted Control,0.0,0.0,0,1,0.9052828999992926,7
SV209,Sighted Control,0.0,0.0,0,1,2.7548201000026893,2
SV209,Sighted Control,0.0,0.0,0,1,0.8056724999914877,23
SV209,Sighted Control,0.0,0.0,0,1,0.8889072999882046,11
SV209,Sighted Control,0.0,0.0,0,1,0.8223051999812014,9
SV209,Sighted Control,0.0,0.0,0,1,0.8390413000015542,6
SV209,Sighted Control,0.0,0.0,0,1,0.8063610999961384,14
SV209,Sighted Control,0.0,0.0,0,1,0.9554739000159316,5
SV209,Sighted Control,0.0,0.0,0,1,0.8719527999928687,15
SV209,Sighted Control,0.0,0.0,0,1,0.905742899980396,20
SV209,Sighted Control,0.0,0.0,0,1,1.0879834000079427,5
SV209,Sighted Control,0.0,0.0,0,1,1.1560170000011567,3
SV209,Sighted Control,0.0,0.0,0,1,1.039247200009413,21
SV209,Sighted Control,0.0,0.0,0,1,0.9721502000174951,7
SV209,Sighted Control,0.0,0.0,0,1,1.0879144999780692,3
SV209,Sighted Control,0.0,0.0,0,1,1.2055821999965701,7
SV209,Sighted Control,0.0,0.0,0,1,0.93898619999527,12
SV209,Sighted Control,0.0,0.0,0,1,0.9232001999916974,24
SV209,Sighted Control,0.0,0.0,0,1,0.9059196999878623,10
SV209,Sighted Control,0.0,0.0,0,1,0.940208399988478,12
SV209,Sighted Control,0.0,0.0,0,1,1.7567689999996219,18
SV209,Sighted Control,0.0,0.0,0,1,0.9069816999835894,17
SV209,Sighted Control,0.0,0.0,0,1,0.8240361000061966,1
SV209,Sighted Control,0.0,0.0,0,1,1.0565065999981016,17
SV209,Sighted Control,0.0,0.0,0,1,0.8068153000203893,19
SV209,Sighted Control,0.0,0.0,0,1,2.6731580999912694,1
SV209,Sighted Control,0.0,0.0,0,1,1.2902627000003122,15
SV209,Sighted Control,0.0,0.0,0,1,0.8568547000177205,21
SV209,Sighted Control,0.0,0.0,0,1,2.774407999997493,15
SV209,Sighted Control,0.0,0.0,0,1,1.1235342000145465,18
SV209,Sighted Control,0.0,0.0,0,1,0.9398498999653384,6
SV209,Sighted Control,0.0,0.0,0,1,1.0568199999979697,4
SV209,Sighted Control,0.0,0.0,0,1,1.1230547999730334,9
SV209,Sighted Control,0.0,0.0,0,1,0.8567152000032365,24
SV209,Sighted Control,0.0,0.0,0,1,1.0071661000256427,13
SV209,Sighted Control,0.0,0.0,0,1,0.9400363999884576,22
SV209,Sighted Control,0.0,0.0,0,1,1.157338399963919,5
SV209,Sighted Control,0.0,0.0,0,1,0.990302599966526,14
SV209,Sighted Control,0.0,0.0,0,1,0.8066480999696068,11
SV209,Sighted Control,0.0,0.0,0,1,1.0410925999749452,24
SV209,Sighted Control,0.0,0.0,0,1,0.873354899988044,2
SV209,Sighted Control,0.0,0.0,1,0,1.540116099989973,23
SV209,Sighted Control,0.0,0.0,0,1,1.0903491000062786,8
SV209,Sighted Control,0.0,0.0,0,1,0.9736673000152223,10
SV209,Sighted Control,0.0,0.0,0,1,1.8566258000209928,8
SV209,Sighted Control,0.0,0.0,0,1,1.0406021000235341,3
SV209,Sighted Control,0.0,0.0,0,1,1.0402254000073299,16
SV209,Sighted Control,0.0,0.0,0,1,1.1236362000345252,22
SV209,Sighted Control,0.0,0.0,0,1,1.6066722000250593,13
SV209,Sighted Control,0.0,0.0,0,1,1.3404162000515498,10
SV209,Sighted Control,0.0,0.0,0,1,0.9068331000162289,18
SV209,Sighted Control,0.0,0.0,0,1,1.0236861999728717,16
SV209,Sighted Control,0.0,0.0,0,1,0.7066101999953389,13
SV209,Sighted Control,0.0,0.0,0,1,0.9225423000170849,19
SV209,Sighted Control,0.0,0.0,0,1,0.8399236000259407,20
SV209,Sighted Control,0.0,0.0,0,1,0.9888354999711737,22
SV209,Sighted Control,0.0,0.0,0,1,0.9216717999661341,12
SV209,Sighted Control,0.0,0.0,0,1,0.8221032999572344,17
SV209,Sighted Control,0.0,0.0,0,1,1.3892114000045694,6
SV209,Sighted Control,0.0,0.0,0,1,1.0222180999699049,23
SV209,Sighted Control,0.0,0.0,0,1,0.9384053999674506,4
SV209,Sighted Control,0.0,0.0,0,1,0.939085400023032,4
SV209,Sighted Control,0.0,1.0,1,1,0.9705461999983527,14
SV209,Sighted Control,0.0,1.0,1,1,1.2044608000142034,12
SV209,Sighted Control,0.0,1.0,1,1,1.0237205000012182,5
