sid,group,n_flash,n_beep,response,accuracy,rt,location
SV212,Sighted Control,0.0,0.0,0,1,1.271949100017082,5
SV212,Sighted Control,0.0,0.0,0,1,3.572361500002444,4
SV212,Sighted Control,0.0,0.0,0,1,1.0067269999999553,1
SV212,Sighted Control,0.0,0.0,0,1,0.9379183999844827,19
SV212,Sighted Control,0.0,0.0,0,1,0.8556848000152968,15
SV212,Sighted Control,0.0,0.0,0,1,0.9049683000193909,3
SV212,Sighted Control,0.0,0.0,0,1,0.922757999971509,12
SV212,Sighted Control,0.0,0.0,0,1,0.8720846999785863,21
SV212,Sighted Control,0.0,0.0,0,1,1.0551237000036053,22
SV212,Sighted Control,0.0,0.0,0,1,0.7395528000197373,10
SV212,Sighted Control,0.0,0.0,0,1,1.1558502999832854,8
SV212,Sighted Control,0.0,0.0,0,1,0.8393833999871276,19
SV212,Sighted Control,0.0,0.0,0,1,0.8074816000298597,1
SV212,Sighted Control,0.0,0.0,0,1,0.8048986999783665,24
SV212,Sighted Control,0.0,0.0,0,1,0.671781400043983,21
SV212,Sighted Control,0.0,0.0,0,1,0.8056165000307374,22
SV212,Sighted Control,0.0,0.0,0,1,0.8747886000201106,10
SV212,Sighted Control,0.0,0.0,0,1,0.655905099993106,15
SV212,Sighted Control,0.0,0.0,0,1,0.7055996999843046,7
SV212,Sighted Control,0.0,0.0,0,1,0.7387981999781914,23
SV212,Sighted Control,0.0,0.0,0,1,3.789912700012792,1
SV212,Sighted Control,0.0,0.0,0,1,1.0059172000037506,8
SV212,Sighted Control,0.0,0.0,0,1,1.2710048999870196,21
SV212,Sighted Control,0.0,0.0,0,1,1.9887388999923132,14
SV212,Sighted Control,0.0,0.0,0,1,0.8718273999984376,18
SV212,Sighted Control,0.0,0.0,0,1,1.2216598000377417,6
SV212,Sighted Control,0.0,0.0,0,1,1.9558149999938905,3
SV212,Sighted Control,0.0,0.0,0,1,1.288799999980256,16
SV212,Sighted Control,0.0,0.0,0,1,2.505787000001874,17
SV212,Sighted Control,0.0,0.0,0,1,0.8385521000018343,7
SV212,Sighted Control,0.0,0.0,0,1,0.8245231999899261,20
SV212,Sighted Control,0.0,0.0,0,1,0.8723834000411443,13
SV212,Sighted Control,0.0,0.0,0,1,0.7895371000049636,13
SV212,Sighted Control,0.0,0.0,0,1,1.1557565000257455,16
SV212,Sighted Control,0.0,0.0,0,1,0.9057099999627098,6
SV212,Sighted Control,0.0,0.0,0,1,0.824002199980896,23
SV212,Sighted Control,0.0,0.0,0,1,0.8064903999911621,18
SV212,Sighted Control,0.0,0.0,0,1,0.706590999965556,7
SV212,Sighted Control,0.0,0.0,0,1,0.8736288000363857,2
SV212,Sighted Control,0.0,0.0,0,1,1.1724688000394963,14
SV212,Sighted Control,0.0,0.0,0,1,0.7724966999958269,4
SV212,Sighted Control,0.0,0.0,0,1,0.8386388999642804,12
SV212,Sighted Control,0.0,0.0,0,1,0.9881108999834396,24
SV212,Sighted Control,0.0,0.0,0,1,1.3225687999511138,23
SV212,Sighted Control,0.0,0.0,0,1,0.7055278999614529,6
SV212,Sighted Control,0.0,0.0,0,1,0.7897364000091329,16
SV212,Sighted Control,0.0,0.0,0,1,1.5875961999990977,5
SV212,Sighted Control,0.0,0.0,0,1,0.9058930000173859,17
SV212,Sighted Control,0.0,0.0,0,1,1.2077233999734744,18
SV212,Sighted Control,0.0,0.0,0,1,0.7395161999738775,2
SV212,Sighted Control,0.0,0.0,0,1,1.122338299988769,10
SV212,Sighted Control,0.0,0.0,0,1,0.6387194999842905,11
SV212,Sighted Control,0.0,0.0,0,1,0.9057496999739669,8
SV212,Sighted Control,0.0,0.0,0,1,0.8558143000118434,20
SV212,Sighted Control,0.0,0.0,0,1,0.7557800999493338,24
SV212,Sighted Control,0.0,0.0,0,1,0.7395217000157572,12
SV212,Sighted Control,0.0,0.0,0,1,0.8390868999995291,11
SV212,Sighted Control,0.0,0.0,0,1,0.905193499987945,5
SV212,Sighted Control,0.0,0.0,0,1,1.1415224999655038,20
SV212,Sighted Control,0.0,0.0,0,1,0.7725607000174932,9
SV212,Sighted Control,0.0,0.0,0,1,0.8723665000288747,11
SV212,Sighted Control,0.0,0.0,0,1,0.8723760000430048,17
SV212,Sighted Control,0.0,0.0,0,1,0.805331000010483,22
SV212,Sighted Control,0.0,0.0,0,1,0.8224556000204757,3
SV212,Sighted Control,0.0,0.0,0,1,0.8550971999648027,9
SV212,Sighted Control,0.0,0.0,0,1,0.6724271000130102,19
SV212,Sighted Control,0.0,0.0,0,1,0.622328000026755,9
SV212,Sighted Control,0.0,0.0,0,1,1.3223628000123426,13
SV212,Sighted Control,0.0,0.0,0,1,0.8052633000188507,4
SV212,Sighted Control,0.0,0.0,0,1,0.589776799955871,2
SV212,Sighted Control,0.0,0.0,0,1,0.6546840000082739,15
SV212,Sighted Control,0.0,0.0,0,1,0.721993199957069,14
SV212,Sighted Control,0.0,1.0,1,1,0.772694599989336,19
SV212,Sighted Control,0.0,1.0,1,1,1.7568931999849156,13
SV212,Sighted Control,0.0,1.0,1,1,0.8067737999954261,20
SV212,Sighted Control,0.0,1.0,1,1,1.0725694000138901,10
SV212,Sighted Control,0.0,1.0,1,1,0.8563834000378847,8
SV212,Sighted Control,0.0,1.0,1,1,2.4051845999783836,6
SV212,Sighted Control,0.0,1.0,1,1,0.7887260000570677,15
SV212,Sighted Control,0.0,1.0,1,1,0.7064201000030152,19
SV212,Sighted Control,0.0,1.0,1,1,0.7238548999885097,20
SV212,Sighted Control,0.0,1.0,1,1,0.6884785000002012,8
SV212,Sighted Control,0.0,1.0,1,1,0.7892567000235431,7
SV212,Sighted Control,0.0,1.0,1,1,0.5719092999934219,11
SV212,Sighted Control,0.0,1.0,1,1,0.7384652000037022,4
SV212,Sighted Control,0.0,1.0,1,1,0.6561602000147104,22
SV212,Sighted Control,0.0,1.0,1,1,0.654800099960994,24
SV212,Sighted Control,0.0,1.0,1,1,0.8888471000245772,13
SV212,Sighted Control,0.0,1.0,1,1,0.7392333999741822,9
SV212,Sighted Control,0.0,1.0,1,1,0.8884126000339165,18
SV212,Sighted Control,0.0,1.0,1,1,0.8055659999954514,11
SV212,Sighted Control,0.0,1.0,1,1,0.871993399981875,21
SV212,Sighted Control,0.0,1.0,1,1,0.8054180000326596,16
SV212,Sighted Control,0.0,1.0,1,1,0.7890839999890886,1
SV212,Sighted Control,0.0,1.0,1,1,1.1559604000067338,14
SV212,Sighted Control,0.0,1.0,1,1,0.7873380999662913,23
