sid,group,n_flash,n_beep,response,accuracy,rt,location
SV208,Sighted Control,0.0,0.0,0,1,2.2051199999987148,17
SV208,Sighted Control,0.0,0.0,0,1,1.4874173999996856,1
SV208,Sighted Control,0.0,0.0,0,1,2.3391038999834564,21
SV208,Sighted Control,0.0,0.0,0,1,1.2541788999806158,22
SV208,Sighted Control,0.0,0.0,0,1,1.1723102999967523,16
SV208,Sighted Control,0.0,0.0,0,1,1.3727084000129253,14
SV208,Sighted Control,0.0,0.0,0,1,1.4715995999868028,23
SV208,Sighted Control,0.0,0.0,0,1,1.0236499999882653,20
SV208,Sighted Control,0.0,0.0,0,1,1.206495200021891,17
SV208,Sighted Control,0.0,0.0,0,1,0.8904710999922827,2
SV208,Sighted Control,0.0,0.0,0,1,0.9383168999920599,13
SV208,Sighted Control,0.0,0.0,0,1,0.9558657000015955,11
SV208,Sighted Control,0.0,0.0,0,1,0.9548549999890383,17
SV208,Sighted Control,0.0,0.0,0,1,0.8553552000084892,20
SV208,Sighted Control,0.0,0.0,0,1,2.0068397000140976,10
SV208,Sighted Control,0.0,0.0,0,1,1.137717799982056,14
SV208,Sighted Control,0.0,0.0,0,1,3.0058244000247214,19
SV208,Sighted Control,0.0,0.0,0,1,1.106188600009773,7
SV208,Sighted Control,0.0,0.0,0,1,0.8223077000002377,11
SV208,Sighted Control,0.0,0.0,0,1,1.2222446000087075,8
SV208,Sighted Control,0.0,0.0,0,1,1.3718324000074062,3
SV208,Sighted Control,0.0,0.0,0,1,0.9712472000101116,6
SV208,Sighted Control,0.0,0.0,0,1,0.9554983999987599,8
SV208,Sighted Control,0.0,0.0,0,1,0.8896850000019185,8
SV208,Sighted Control,0.0,0.0,0,1,1.6056706000235863,5
SV208,Sighted Control,0.0,0.0,0,1,1.9556161999935284,24
SV208,Sighted Control,0.0,0.0,0,1,1.7396071999974083,7
SV208,Sighted Control,0.0,0.0,0,1,1.056129400007194,15
SV208,Sighted Control,0.0,0.0,0,1,1.4050573999993503,23
SV208,Sighted Control,0.0,0.0,0,1,0.8378269000095315,1
SV208,Sighted Control,0.0,0.0,0,1,1.4221510000061244,12
SV208,Sighted Control,0.0,0.0,0,1,2.555481699993834,13
SV208,Sighted Control,0.0,0.0,0,1,1.1240403999981936,5
SV208,Sighted Control,0.0,0.0,0,1,1.405615099996794,20
SV208,Sighted Control,0.0,0.0,0,1,0.8387859000067692,21
SV208,Sighted Control,0.0,0.0,0,1,0.8054483000014443,4
SV208,Sighted Control,0.0,0.0,0,1,1.5221125000098255,3
SV208,Sighted Control,0.0,0.0,0,1,0.9898410000023432,5
SV208,Sighted Control,0.0,0.0,0,1,1.0225629000051413,12
SV208,Sighted Control,0.0,0.0,0,1,0.8386724999872968,15
SV208,Sighted Control,0.0,0.0,0,1,0.9887596000044141,9
SV208,Sighted Control,0.0,0.0,0,1,1.6387441999977455,2
SV208,Sighted Control,0.0,0.0,0,1,1.0052378999826033,12
SV208,Sighted Control,0.0,0.0,0,1,1.0549260000116192,4
SV208,Sighted Control,0.0,0.0,0,1,2.2220571000070777,19
SV208,Sighted Control,0.0,0.0,0,1,1.2217756000172812,14
SV208,Sighted Control,0.0,0.0,0,1,1.0390665000013541,3
SV208,Sighted Control,0.0,0.0,0,1,0.955754499998875,18
SV208,Sighted Control,0.0,0.0,0,1,0.9223954000044614,15
SV208,Sighted Control,0.0,0.0,0,1,0.9545483999827411,24
SV208,Sighted Control,0.0,0.0,0,1,0.9558550999790896,9
SV208,Sighted Control,0.0,0.0,0,1,1.0552476000157185,22
SV208,Sighted Control,0.0,0.0,0,1,2.572160800016718,4
SV208,Sighted Control,0.0,0.0,1,0,5.556171100004576,13
SV208,Sighted Control,0.0,0.0,0,1,1.6399683999770787,18
SV208,Sighted Control,0.0,0.0,0,1,0.9733312000171281,18
SV208,Sighted Control,0.0,0.0,0,1,1.5717733000055887,6
SV208,Sighted Control,0.0,0.0,0,1,1.7062812000222038,23
SV208,Sighted Control,0.0,0.0,0,1,1.3221889000269584,10
SV208,Sighted Control,0.0,0.0,0,1,1.8722768000152428,1
SV208,Sighted Control,0.0,0.0,0,1,1.803783300012583,9
SV208,Sighted Control,0.0,0.0,0,1,1.0560418000095524,22
SV208,Sighted Control,0.0,0.0,0,1,1.0725243000197224,11
SV208,Sighted Control,0.0,0.0,0,1,0.8391826000006404,16
SV208,Sighted Control,0.0,0.0,0,1,1.0388075000082608,21
SV208,Sighted Control,0.0,0.0,0,1,1.3392528000113089,16
SV208,Sighted Control,0.0,0.0,0,1,2.4737721999990754,24
SV208,Sighted Control,0.0,0.0,0,1,1.8884957999980543,7
SV208,Sighted Control,0.0,0.0,0,1,0.9230501999845728,2
SV208,Sighted Control,0.0,0.0,0,1,1.2389604999916628,6
SV208,Sighted Control,0.0,0.0,0,1,1.3390037000062875,19
SV208,Sighted Control,0.0,0.0,0,1,1.0387409999966621,10
SV208,Sighted Control,0.0,1.0,1,1,0.7383565999916755,2
SV208,Sighted Control,0.0,1.0,1,1,0.6567676000122447,6
SV208,Sighted Control,0.0,1.0,0,0,3.2218709999870043,11
SV208,Sighted Control,0.0,1.0,1,1,0.9223063999961596,8
SV208,Sighted Control,0.0,1.0,1,1,1.3047127000172623,4
SV208,Sighted Control,0.0,1.0,1,1,0.9053330000024289,3
SV208,Sighted Control,0.0,1.0,1,1,0.5575327000115067,14
SV208,Sighted Control,0.0,1.0,1,1,0.5711515999864787,12
SV208,Sighted Control,0.0,1.0,1,1,0.5881665000051726,19
SV208,Sighted Control,0.0,1.0,1,1,1.0886420000169892,20
SV208,Sighted Control,0.0,1.0,1,1,0.560192199976882,1
SV208,Sighted Control,0.0,1.0,1,1,0.8073992999852635,11
SV208,Sighted Control,0.0,1.0,1,1,1.3554761999985203,19
SV208,Sighted Control,0.0,1.0,1,1,1.122632699989481,20
SV208,Sighted Control,0.0,1.0,1,1,0.8551355999952648,14
SV208,Sighted Control,0.0,1.0,1,1,1.073608900012914,3
SV208,Sighted Control,0.0,1.0,1,1,0.9228749999892898,10
SV208,Sighted Control,0.0,1.0,1,1,0.6721506000030786,16
SV208,Sighted Control,0.0,1.0,1,1,0.9064205000177026,17
SV208,Sighted Control,0.0,1.0,1,1,0.7723721000074875,9
SV208,Sighted Control,0.0,1.0,1,1,0.5714449000079185,23
SV208,Sighted Control,0.0,1.0,1,1,0.8396287999930792,3
SV208,Sighted Control,0.0,1.0,1,1,0.7051329000096302,24
SV208,Sighted Control,0.0,1.0,1,1,0.6390991000225767,5
SV208,Sighted Control,0.0,1.0,1,1,0.9226024999807123,6
SV208,Sighted Control,0.0,1.0,1,1,0.6718646000081208,23
SV208,Sighted Control,0.0,1.0,1,1,1.023671299975831,10
SV208,Sighted Control,0.0,1.0,1,1,0.7063773999980185,7
SV208,Sighted Control,0.0,1.0,1,1,0.588632900005905,7
SV208,Sighted Control,0.0,1.0,1,1,1.2223054000060074,17
SV208,Sighted Control,0.0,1.0,1,1,0.6567578999965917,11
SV208,Sighted Control,0.0,1.0,1,1,0.8891098000167403,21
SV208,Sighted Control,0.0,1.0,1,1,0.6565761000092607,17
SV208,Sighted Control,0.0,1.0,1,1,0.6225686999969184,5
SV208,Sighted Control,0.0,1.0,1,1,0.5651578000106383,21
SV208,Sighted Control,0.0,1.0,1,1,1.1219550999812782,22
SV208,Sighted Control,0.0,1.0,1,1,0.5886027999804355,24
SV208,Sighted Control,0.0,1.0,1,1,0.5617374000139534,4
SV208,Sighted Control,0.0,1.0,1,1,0.7561276000051294,1
SV208,Sighted Control,0.0,1.0,1,1,0.8562584000173956,20
SV208,Sighted Control,0.0,1.0,1,1,1.4059846999880392,22
SV208,Sighted Control,0.0,1.0,1,1,0.6899666999815963,2
SV208,Sighted Control,0.0,1.0,1,1,0.9392206999764312,8
SV208,Sighted Control,0.0,1.0,1,1,1.3393125999718904,7
SV208,Sighted Control,0.0,1.0,1,1,0.5682419999793638,5
SV208,Sighted Control,0.0,1.0,1,1,0.9061472000030335,15
SV208,Sighted Control,0.0,1.0,1,1,1.1384861000115052,13
SV208,Sighted Control,0.0,1.0,1,1,0.5586832000117283,22
SV208,Sighted Control,0.0,1.0,1,1,0.5611430999997538,18
SV208,Sighted Control,0.0,1.0,1,1,0.6382315999944694,4
SV208,Sighted Control,0.0,1.0,1,1,0.8552697999984957,8
SV208,Sighted Control,0.0,1.0,1,1,1.0391211000096519,19
SV208,Sighted Control,0.0,1.0,1,1,0.6221935999928974,12
SV208,Sighted Control,0.0,1.0,1,1,1.1561692999966908,10
SV208,Sighted Control,0.0,1.0,1,1,1.1056597999995574,15
SV208,Sighted Control,0.0,1.0,1,1,0.5646315999911167,1
SV208,Sighted Control,0.0,1.0,1,1,0.9389222000027075,15
SV208,Sighted Control,0.0,1.0,1,1,0.6881818999827374,9
SV208,Sighted Control,0.0,1.0,1,1,1.3059448999993037,14
SV208,Sighted Control,0.0,1.0,1,1,1.6723643000004813,24
SV208,Sighted Control,0.0,1.0,1,1,2.822099299984984,9
SV208,Sighted Control,0.0,1.0,1,1,1.072442399978172,16
SV208,Sighted Control,0.0,1.0,1,1,1.038750000006985,21
SV208,Sighted Control,0.0,1.0,1,1,0.6892236999992747,12
SV208,Sighted Control,0.0,1.0,1,1,0.5590212999959476,18
SV208,Sighted Control,0.0,1.0,1,1,2.2889187000109814,2
SV208,Sighted Control,0.0,1.0,1,1,1.0886459999892395,13
SV208,Sighted Control,0.0,1.0,1,1,0.890912600007141,13
SV208,Sighted Control,0.0,1.0,1,1,1.1053670000110287,6
SV208,Sighted Control,0.0,1.0,1,1,0.7221299999800976,18
SV208,Sighted Control,0.0,1.0,1,1,0.9561446000006981,23
SV208,Sighted Control,0.0,1.0,1,1,1.023294500017073,16
SV208,Sighted Control,0.0,2.0,2,1,3.838610200007679,5
SV208,Sighted Control,0.0,2.0,2,1,0.5577232000068761,1
SV208,Sighted Control,0.0,2.0,2,1,0.688892299978761,23
SV208,Sighted Control,0.0,2.0,2,1,0.7217672999831848,12
SV208,Sighted Control,0.0,2.0,2,1,0.7058304999954998,6
SV208,Sighted Control,0.0,2.0,2,1,0.7049618999881204,12
SV208,Sighted Control,0.0,2.0,2,1,1.7224832999927457,2
SV208,Sighted Control,0.0,2.0,2,1,0.9382524999964517,15
SV208,Sighted Control,0.0,2.0,2,1,1.0736059000191744,14
SV208,Sighted Control,0.0,2.0,2,1,0.9390645000094082,17
SV208,Sighted Control,0.0,2.0,2,1,1.0230203000246547,22
SV208,Sighted Control,0.0,2.0,2,1,1.0549191999889445,11
SV208,Sighted Control,0.0,2.0,2,1,0.9049448000150733,4
SV208,Sighted Control,0.0,2.0,2,1,1.0727044000232127,11
SV208,Sighted Control,0.0,2.0,2,1,0.6581067999941297,20
SV208,Sighted Control,0.0,2.0,2,1,0.7556431999837514,14
SV208,Sighted Control,0.0,2.0,2,1,0.7381560999783687,23
SV208,Sighted Control,0.0,2.0,2,1,0.6553867000038736,1
SV208,Sighted Control,0.0,2.0,0,0,8.623191399994539,8
SV208,Sighted Control,0.0,2.0,2,1,1.0211772999900859,17
SV208,Sighted Control,0.0,2.0,2,1,0.7727010000089649,15
SV208,Sighted Control,0.0,2.0,2,1,0.873929000023054,17
SV208,Sighted Control,0.0,2.0,2,1,0.5729325000138488,18
SV208,Sighted Control,0.0,2.0,2,1,1.6382019000011496,16
SV208,Sighted Control,0.0,2.0,2,1,0.6895659000147134,22
SV208,Sighted Control,0.0,2.0,2,1,1.2549931999819819,11
SV208,Sighted Control,0.0,2.0,2,1,0.98906680001528,22
