sid,group,n_flash,n_beep,response,accuracy,rt,location
SV211,Sighted Control,0.0,0.0,0,1,1.6722453000256792,21
SV211,Sighted Control,0.0,0.0,0,1,0.622438799997326,7
SV211,Sighted Control,0.0,0.0,0,1,0.6388503999914974,17
SV211,Sighted Control,0.0,0.0,0,1,2.272627600003034,15
SV211,Sighted Control,0.0,0.0,0,1,0.6055552999605425,24
SV211,Sighted Control,0.0,0.0,0,1,0.6385073999990709,16
SV211,Sighted Control,0.0,0.0,0,1,0.558939200011082,20
SV211,Sighted Control,0.0,0.0,0,1,1.5220125000341795,20
SV211,Sighted Control,0.0,0.0,0,1,0.9899924999917857,22
SV211,Sighted Control,0.0,0.0,0,1,0.6387958999839611,15
SV211,Sighted Control,0.0,0.0,0,1,0.8062561999540776,8
SV211,Sighted Control,0.0,0.0,0,1,0.7227429000195116,12
SV211,Sighted Control,0.0,0.0,0,1,0.8386655000504106,9
SV211,Sighted Control,0.0,0.0,0,1,1.0556459000217728,5
SV211,Sighted Control,0.0,0.0,0,1,0.8554872999666259,7
SV211,Sighted Control,0.0,0.0,0,1,0.8061054000281729,9
SV211,Sighted Control,0.0,0.0,0,1,1.0387062999652699,11
SV211,Sighted Control,0.0,0.0,0,1,0.8227075000177138,1
SV211,Sighted Control,0.0,0.0,0,1,0.7551219000015408,16
SV211,Sighted Control,0.0,0.0,0,1,0.8054343000403605,14
SV211,Sighted Control,0.0,0.0,0,1,0.9560571999754757,14
SV211,Sighted Control,0.0,0.0,0,1,0.9891031999723054,21
SV211,Sighted Control,0.0,0.0,0,1,1.0221648999722674,19
SV211,Sighted Control,0.0,0.0,0,1,0.7055559000000358,23
SV211,Sighted Control,0.0,0.0,0,1,0.5671260000090115,11
SV211,Sighted Control,0.0,0.0,0,1,0.8719064999604598,2
SV211,Sighted Control,0.0,0.0,0,1,0.8719599999603815,3
SV211,Sighted Control,0.0,0.0,0,1,0.9216327999602072,21
SV211,Sighted Control,0.0,0.0,0,1,0.6218478999799117,10
SV211,Sighted Control,0.0,0.0,0,1,0.5887201000005007,11
SV211,Sighted Control,0.0,0.0,0,1,1.709308499994222,15
SV211,Sighted Control,0.0,0.0,0,1,0.5643935999833047,13
SV211,Sighted Control,0.0,0.0,0,1,0.8551722999545746,12
SV211,Sighted Control,0.0,0.0,0,1,0.8391544999903999,18
SV211,Sighted Control,0.0,0.0,0,1,0.9227601999882609,6
SV211,Sighted Control,0.0,0.0,0,1,0.8222424000268802,10
SV211,Sighted Control,0.0,0.0,0,1,0.9722506999969482,3
SV211,Sighted Control,0.0,0.0,0,1,0.5659580000210553,5
SV211,Sighted Control,0.0,0.0,0,1,0.5890599000267684,1
SV211,Sighted Control,0.0,0.0,0,1,0.5609776999917813,16
SV211,Sighted Control,0.0,0.0,0,1,0.7556158999796025,4
SV211,Sighted Control,0.0,0.0,0,1,0.6387792000314221,5
SV211,Sighted Control,0.0,0.0,0,1,0.5742288999608718,1
SV211,Sighted Control,0.0,0.0,0,1,1.8386008000234142,14
SV211,Sighted Control,0.0,0.0,0,1,0.9230602000025101,23
SV211,Sighted Control,0.0,0.0,0,1,0.8723197000217624,9
SV211,Sighted Control,0.0,0.0,0,1,0.9227721000206657,2
SV211,Sighted Control,0.0,0.0,0,1,0.9226357000297867,22
SV211,Sighted Control,0.0,0.0,0,1,0.8219077999820001,24
SV211,Sighted Control,0.0,0.0,0,1,0.6909040000173263,6
SV211,Sighted Control,0.0,0.0,0,1,0.5652966000488959,17
SV211,Sighted Control,0.0,0.0,0,1,0.6221010000444949,7
SV211,Sighted Control,0.0,0.0,0,1,0.8237009999575093,2
SV211,Sighted Control,0.0,0.0,0,1,0.5645630999933928,3
SV211,Sighted Control,0.0,0.0,0,1,0.588684199959971,23
SV211,Sighted Control,0.0,0.0,0,1,0.5885691000148654,8
SV211,Sighted Control,0.0,0.0,0,1,0.6050052999635227,13
SV211,Sighted Control,0.0,0.0,0,1,0.5631721999961883,13
SV211,Sighted Control,0.0,0.0,0,1,0.5651027000276372,19
SV211,Sighted Control,0.0,0.0,0,1,0.5560137999709696,8
SV211,Sighted Control,0.0,0.0,0,1,0.622353800048586,6
SV211,Sighted Control,0.0,0.0,0,1,0.6892371999565512,24
SV211,Sighted Control,0.0,0.0,0,1,0.5658236999879591,4
SV211,Sighted Control,0.0,0.0,0,1,0.564626400009729,4
SV211,Sighted Control,0.0,0.0,0,1,1.4054166999994777,10
SV211,Sighted Control,0.0,0.0,0,1,0.6728524999925867,18
SV211,Sighted Control,0.0,0.0,0,1,0.6053983000456356,20
SV211,Sighted Control,0.0,0.0,0,1,1.172257800004445,22
SV211,Sighted Control,0.0,0.0,0,1,0.9574510999955237,12
SV211,Sighted Control,0.0,0.0,0,1,0.8557921000174247,18
SV211,Sighted Control,0.0,0.0,0,1,0.6052621999988332,19
SV211,Sighted Control,0.0,0.0,0,1,0.788595299993176,17
SV211,Sighted Control,0.0,1.0,1,1,1.9042573000187986,1
SV211,Sighted Control,0.0,1.0,1,1,0.6550465000327677,10
SV211,Sighted Control,0.0,1.0,1,1,0.5635498999617994,13
SV211,Sighted Control,0.0,1.0,1,1,0.5682210000231862,17
SV211,Sighted Control,0.0,1.0,1,1,0.5670735000167042,1
SV211,Sighted Control,0.0,1.0,1,1,0.5617888999986462,3
SV211,Sighted Control,0.0,1.0,1,1,0.5650577999767847,22
SV211,Sighted Control,0.0,1.0,1,1,1.038960300036706,18
SV211,Sighted Control,0.0,1.0,1,1,0.9063873999984935,15
SV211,Sighted Control,0.0,1.0,1,1,0.9714659999590367,2
SV211,Sighted Control,0.0,1.0,1,1,0.9221042999997735,3
SV211,Sighted Control,0.0,1.0,1,1,0.9902810999774374,6
SV211,Sighted Control,0.0,1.0,1,1,0.9230890999897383,7
SV211,Sighted Control,0.0,1.0,1,1,0.9572009000112303,13
SV211,Sighted Control,0.0,1.0,1,1,1.0058440000284463,22
SV211,Sighted Control,0.0,1.0,1,1,0.9059786000289023,5
SV211,Sighted Control,0.0,1.0,1,1,0.772586399980355,22
SV211,Sighted Control,0.0,1.0,1,1,0.8542709000175819,19
SV211,Sighted Control,0.0,1.0,1,1,0.7720747000421397,4
SV211,Sighted Control,0.0,1.0,1,1,0.9237911000382155,20
SV211,Sighted Control,0.0,1.0,1,1,0.990548400033731,23
SV211,Sighted Control,0.0,1.0,1,1,0.6888477000175044,17
SV211,Sighted Control,0.0,1.0,1,1,0.9726376000326127,20
SV211,Sighted Control,0.0,1.0,1,1,0.9719060999923386,13
SV211,Sighted Control,0.0,1.0,1,1,0.8560553999850526,8
SV211,Sighted Control,0.0,1.0,1,1,0.9885366999660619,4
SV211,Sighted Control,0.0,1.0,1,1,0.938583999988623,21
SV211,Sighted Control,0.0,1.0,1,1,0.6221001000376418,18
SV211,Sighted Control,0.0,1.0,1,1,2.522657399997115,12
SV211,Sighted Control,0.0,1.0,1,1,1.0564407999627292,23
SV211,Sighted Control,0.0,1.0,1,1,0.8900541000184603,1
SV211,Sighted Control,0.0,1.0,1,1,0.5640978000010364,12
SV211,Sighted Control,0.0,1.0,1,1,0.560269600013271,11
SV211,Sighted Control,0.0,1.0,1,1,0.5606620999751613,23
SV211,Sighted Control,0.0,1.0,1,1,1.1561568000470288,17
SV211,Sighted Control,0.0,1.0,1,1,0.8225084000150673,4
SV211,Sighted Control,0.0,1.0,1,1,0.5623975000344217,11
SV211,Sighted Control,0.0,1.0,1,1,0.6217558000353165,24
SV211,Sighted Control,0.0,1.0,1,1,0.8393503000261262,19
SV211,Sighted Control,0.0,1.0,1,1,0.5887357000028715,14
SV211,Sighted Control,0.0,1.0,1,1,0.5684215000364929,9
SV211,Sighted Control,0.0,1.0,1,1,2.372525900020264,15
SV211,Sighted Control,0.0,1.0,1,1,0.638738600013312,10
SV211,Sighted Control,0.0,1.0,1,1,0.8553655000287108,9
SV211,Sighted Control,0.0,1.0,1,1,0.7732229999965057,3
SV211,Sighted Control,0.0,1.0,1,1,0.7061036000377499,21
SV211,Sighted Control,0.0,1.0,1,1,0.67266149999341,6
SV211,Sighted Control,0.0,1.0,1,1,0.8389771999791265,7
SV211,Sighted Control,0.0,1.0,1,1,0.839269999996759,5
SV211,Sighted Control,0.0,1.0,1,1,0.8418098000111058,8
SV211,Sighted Control,0.0,1.0,1,1,0.772107099997811,6
SV211,Sighted Control,0.0,1.0,1,1,0.8736227999906987,12
SV211,Sighted Control,0.0,1.0,1,1,0.5554866999736987,24
SV211,Sighted Control,0.0,1.0,1,1,0.7053684000275098,21
