sid,group,n_flash,n_beep,response,accuracy,rt,location
SV202,Sighted Control,0.0,0.0,0,1,1.4223772000004828,21
SV202,Sighted Control,0.0,0.0,0,1,1.1057041000003665,18
SV202,Sighted Control,0.0,0.0,0,1,1.0555757999991329,22
SV202,Sighted Control,0.0,0.0,0,1,1.1405257999995229,3
SV202,Sighted Control,0.0,0.0,0,1,0.9390896000004432,4
SV202,Sighted Control,0.0,0.0,0,1,0.7390178000005108,18
SV202,Sighted Control,0.0,0.0,0,1,1.7728223000012804,24
SV202,Sighted Control,0.0,0.0,0,1,1.257491200000004,6
SV202,Sighted Control,0.0,0.0,0,1,1.09002590000091,9
SV202,Sighted Control,0.0,0.0,0,1,0.7218806000000768,7
SV202,Sighted Control,0.0,0.0,0,1,0.7884336999995867,15
SV202,Sighted Control,0.0,0.0,0,1,1.572545099999843,24
SV202,Sighted Control,0.0,0.0,0,1,0.6708923999995022,23
SV202,Sighted Control,0.0,0.0,0,1,0.6557367999994312,10
SV202,Sighted Control,0.0,0.0,0,1,0.6228745999997045,20
SV202,Sighted Control,0.0,0.0,0,1,0.8222110999995493,6
SV202,Sighted Control,0.0,0.0,0,1,0.5647456000006059,2
SV202,Sighted Control,0.0,0.0,0,1,0.8552167999987432,8
SV202,Sighted Control,0.0,0.0,0,1,0.9395060000006197,24
SV202,Sighted Control,0.0,0.0,0,1,0.9060496000001876,23
SV202,Sighted Control,0.0,0.0,0,1,0.988778299999467,8
SV202,Sighted Control,0.0,0.0,0,1,1.3419771999997465,10
SV202,Sighted Control,0.0,0.0,0,1,1.0390912000002572,15
SV202,Sighted Control,0.0,0.0,0,1,1.105618499999764,12
SV202,Sighted Control,0.0,0.0,0,1,0.6229180000009364,16
SV202,Sighted Control,0.0,0.0,0,1,0.5622281999985717,5
SV202,Sighted Control,0.0,0.0,0,1,0.7047628000000259,7
SV202,Sighted Control,0.0,0.0,0,1,1.1074074000007386,8
SV202,Sighted Control,0.0,0.0,0,1,1.038608099999692,14
SV202,Sighted Control,0.0,0.0,0,1,0.988828999999896,3
SV202,Sighted Control,0.0,0.0,0,1,1.0894730999989406,22
SV202,Sighted Control,0.0,0.0,0,1,1.6405721999999514,4
SV202,Sighted Control,0.0,0.0,0,1,1.4558398999997735,20
SV202,Sighted Control,0.0,0.0,0,1,0.988993599999958,21
SV202,Sighted Control,0.0,0.0,0,1,1.2894403999998758,13
SV202,Sighted Control,0.0,0.0,0,1,1.107230100000379,19
SV202,Sighted Control,0.0,0.0,0,1,0.6053398000003654,1
SV202,Sighted Control,0.0,0.0,0,1,1.5389020000002347,2
SV202,Sighted Control,0.0,0.0,0,1,2.688697100000354,18
SV202,Sighted Control,0.0,0.0,0,1,0.9222454999999172,6
SV202,Sighted Control,0.0,0.0,0,1,0.5683847000000242,2
SV202,Sighted Control,0.0,0.0,0,1,0.955036299999847,12
SV202,Sighted Control,0.0,0.0,0,1,1.3052456000004895,14
SV202,Sighted Control,0.0,0.0,0,1,0.9228480999991007,11
SV202,Sighted Control,0.0,0.0,0,1,0.75468009999895,17
SV202,Sighted Control,0.0,0.0,0,1,0.8553756000001158,16
SV202,Sighted Control,0.0,0.0,0,1,0.57189279999875,20
SV202,Sighted Control,0.0,0.0,0,1,0.6057135999999446,22
SV202,Sighted Control,0.0,0.0,0,1,0.5729118999988714,10
SV202,Sighted Control,0.0,0.0,0,1,0.8239529999991646,14
SV202,Sighted Control,0.0,0.0,0,1,0.5615020000004733,19
SV202,Sighted Control,0.0,0.0,0,1,0.7222762000001239,5
SV202,Sighted Control,0.0,0.0,0,1,0.5601174999992509,9
SV202,Sighted Control,0.0,0.0,0,1,1.4723383000000467,7
SV202,Sighted Control,0.0,0.0,0,1,1.4896289000007528,1
SV202,Sighted Control,0.0,0.0,0,1,0.8729346000000078,12
SV202,Sighted Control,0.0,0.0,1,0,1.3387863999996625,5
SV202,Sighted Control,0.0,0.0,0,1,0.5611930999984907,15
SV202,Sighted Control,0.0,0.0,0,1,0.7054471999999805,23
SV202,Sighted Control,0.0,0.0,0,1,0.7720265000007203,17
SV202,Sighted Control,0.0,0.0,0,1,1.1055685999999696,4
SV202,Sighted Control,0.0,0.0,0,1,0.622776199999862,13
SV202,Sighted Control,0.0,0.0,0,1,0.5618501000008109,1
SV202,Sighted Control,0.0,0.0,0,1,1.3719150999986596,19
SV202,Sighted Control,0.0,0.0,0,1,0.721578300001056,21
SV202,Sighted Control,0.0,0.0,0,1,0.5637225000009494,3
SV202,Sighted Control,0.0,0.0,0,1,1.3723872000009578,11
SV202,Sighted Control,0.0,0.0,0,1,1.0889349000008224,11
SV202,Sighted Control,0.0,0.0,0,1,1.056276599998455,13
SV202,Sighted Control,0.0,0.0,0,1,1.0256621000007726,9
SV202,Sighted Control,0.0,0.0,0,1,1.0055733000008331,16
SV202,Sighted Control,0.0,0.0,0,1,0.5682266999992862,17
SV202,Sighted Control,0.0,1.0,1,1,0.8383969999995315,19
SV202,Sighted Control,0.0,1.0,1,1,0.7013040000001638,16
SV202,Sighted Control,0.0,1.0,1,1,0.5723342000001139,8
SV202,Sighted Control,0.0,1.0,1,1,1.0889974999990955,5
SV202,Sighted Control,0.0,1.0,1,1,1.0069727999998577,11
SV202,Sighted Control,0.0,1.0,1,1,0.7373674000009487,22
SV202,Sighted Control,0.0,1.0,1,1,0.6390466000011656,13
SV202,Sighted Control,0.0,1.0,1,1,0.5551577000005636,1
SV202,Sighted Control,0.0,1.0,1,1,0.97200359999988,20
SV202,Sighted Control,0.0,1.0,1,1,0.5541285999988759,18
SV202,Sighted Control,0.0,1.0,1,1,0.5607242999994924,9
SV202,Sighted Control,0.0,1.0,1,1,0.5595376000001124,4
SV202,Sighted Control,0.0,1.0,1,1,0.62362419999954,15
SV202,Sighted Control,0.0,1.0,1,1,2.854224199998498,20
SV202,Sighted Control,0.0,1.0,1,1,0.5611399999997957,14
SV202,Sighted Control,0.0,1.0,1,1,0.6248881000010442,23
SV202,Sighted Control,0.0,1.0,1,1,1.1386309000008623,11
SV202,Sighted Control,0.0,1.0,1,1,0.5633256000000983,6
SV202,Sighted Control,0.0,1.0,1,1,0.5590394999999262,1
SV202,Sighted Control,0.0,1.0,1,1,0.5632422000016959,2
SV202,Sighted Control,0.0,1.0,1,1,0.5582809999996243,19
SV202,Sighted Control,0.0,1.0,1,1,0.9892721999985952,5
SV202,Sighted Control,0.0,1.0,1,1,0.8061043999987305,13
SV202,Sighted Control,0.0,1.0,1,1,0.5663684000010107,16
SV202,Sighted Control,0.0,1.0,1,1,0.559947399999146,8
SV202,Sighted Control,0.0,1.0,1,1,0.739006399999198,15
SV202,Sighted Control,0.0,1.0,1,1,0.5694305999986682,2
SV202,Sighted Control,0.0,1.0,1,1,0.6386567000008654,7
SV202,Sighted Control,0.0,1.0,1,1,0.5660563000001275,9
SV202,Sighted Control,0.0,1.0,1,1,0.589113100000759,13
SV202,Sighted Control,0.0,1.0,1,1,0.6719764999998006,12
SV202,Sighted Control,0.0,1.0,1,1,0.5605304000000615,9
SV202,Sighted Control,0.0,1.0,1,1,1.0392619000012928,5
SV202,Sighted Control,0.0,1.0,1,1,1.1387835000004998,14
SV202,Sighted Control,0.0,1.0,1,1,0.561788400000296,8
SV202,Sighted Control,0.0,1.0,1,1,0.9393227000000479,23
SV202,Sighted Control,0.0,1.0,1,1,0.6220059000006586,17
SV202,Sighted Control,0.0,1.0,1,1,0.5658499999990454,24
SV202,Sighted Control,0.0,1.0,1,1,0.6557629999988421,10
SV202,Sighted Control,0.0,1.0,1,1,0.558013400001073,6
SV202,Sighted Control,0.0,1.0,1,1,0.5683464999983698,21
SV202,Sighted Control,0.0,1.0,1,1,0.9721152000001894,7
SV202,Sighted Control,0.0,1.0,1,1,0.5652236999994784,7
SV202,Sighted Control,0.0,1.0,1,1,0.8559264999985317,3
SV202,Sighted Control,0.0,1.0,1,1,0.5906099999992875,17
SV202,Sighted Control,0.0,1.0,1,1,1.42508849999831,6
SV202,Sighted Control,0.0,1.0,1,1,0.8886112999989564,21
SV202,Sighted Control,0.0,1.0,1,1,0.5632200000000012,18
SV202,Sighted Control,0.0,1.0,1,1,0.9071436000012909,21
SV202,Sighted Control,0.0,1.0,1,1,1.272679199999402,1
SV202,Sighted Control,0.0,1.0,1,1,0.82177049999882,23
SV202,Sighted Control,0.0,1.0,1,1,0.6055446999998821,10
SV202,Sighted Control,0.0,1.0,1,1,0.5592209000005823,24
SV202,Sighted Control,0.0,1.0,1,1,0.570080000001326,18
SV202,Sighted Control,0.0,1.0,1,1,0.6577796000001399,14
SV202,Sighted Control,0.0,1.0,1,1,0.5705134999989241,15
SV202,Sighted Control,0.0,1.0,1,1,3.5059056999998575,3
SV202,Sighted Control,0.0,1.0,1,1,0.5573203000003559,3
SV202,Sighted Control,0.0,1.0,1,1,0.559423800001241,12
SV202,Sighted Control,0.0,1.0,1,1,0.5681099999983417,10
SV202,Sighted Control,0.0,1.0,1,1,0.9724067999995896,22
SV202,Sighted Control,0.0,1.0,1,1,0.5568650000004709,17
SV202,Sighted Control,0.0,1.0,1,1,0.5680818000000727,4
SV202,Sighted Control,0.0,1.0,1,1,0.5639836000009382,22
SV202,Sighted Control,0.0,1.0,1,1,0.5589853000001312,11
SV202,Sighted Control,0.0,1.0,1,1,1.8722254000003886,19
SV202,Sighted Control,0.0,1.0,1,1,11.058919600000081,2
