subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p
LV001,raw,Averaging,mll,1157.5276576691174,2328.464144048163,0.6282824263752338,0.0,0.4588642211796148,0.6,2.8909387364336,1.5
LV002,raw,Averaging,mll,1335.2698024280637,2683.948433566055,0.3512559545981504,0.0,0.9928928943518808,0.6,2.9923411642496527,1.5
LV003,raw,Averaging,mll,831.5010388498563,1676.4109064096408,0.6132679543040627,0.0,0.8960053123053222,0.6,2.714901577266522,1.5
LV005,raw,Averaging,mll,938.281592971696,1889.97201465332,0.6578417958536764,0.0,0.8130710825866748,0.6,2.566002842161152,1.5
LV007,raw,Averaging,mll,631.9865619683446,1277.3819526466175,0.8246605945069805,0.0,0.6839111546437173,0.6,2.581219164935688,1.5
LV008,raw,Averaging,mll,1148.117027954558,2309.642884619044,0.5932943486904112,0.0,0.2973476411444455,0.6,2.98756173660874,1.5
LV009,raw,Averaging,mll,772.6012183221387,1558.6112653542057,0.8666888361435603,0.0,0.2314923410421598,0.6,2.99262480967152,1.5
LV011,raw,Averaging,mll,1177.2987552170262,2368.0063391439803,0.4663518023072085,0.0,0.9960526895152328,0.6,2.995472665054519,1.5
LV012,raw,Averaging,mll,1409.4637581645425,2832.336345039013,0.3186493506369129,0.0,0.9814585890413232,0.6,2.987571854020143,1.5
LV013,raw,Averaging,mll,1475.043999932,2963.496828573928,0.356519522546481,0.0,0.5444403063405356,0.6,2.940479407394429,1.5
LV015,raw,Averaging,mll,575.930779985364,1165.2703886806562,0.94270587791633,0.0,0.1569093266745467,0.6,2.990147108418832,1.5
LV016,raw,Averaging,mll,1226.94999122375,2467.308811157428,0.5024200434782664,0.0,0.1484106546859038,0.6,2.849638296635418,1.5
LV017,raw,Averaging,mll,447.998727109144,909.406282928216,0.9477646861290722,0.0,0.1339262414585463,0.6,2.997482356590655,1.5
LV018,raw,Averaging,mll,581.3935359156567,1176.1959005412416,0.7494428102389598,0.0,0.7704788791361604,0.6,0.246344394105328,1.5
LV019,raw,Averaging,mll,770.328981365009,1554.0667914399462,0.6111192191978496,0.0,0.8758717478414375,0.6,2.788583947746985,1.5
LV020,raw,Averaging,mll,788.4869046658927,1590.3826380417136,0.600547787490685,0.0,0.9930052497753038,0.6,2.9828962892592767,1.5
LV021,raw,Averaging,mll,667.9134309211854,1349.235690552299,0.9018292470273088,0.0,0.1857685552146852,0.6,2.986094972686117,1.5
LV022,raw,Averaging,mll,794.2414855776008,1601.8917998651298,0.8257255861626374,0.0,0.1462723921639652,0.6,2.998310656346783,1.5
LV023,raw,Averaging,mll,1412.0712268380937,2837.551282386115,0.353688283966192,0.0,0.9929736311069416,0.6,2.9890132698131584,1.5
LV024,raw,Averaging,mll,1408.7681252007133,2830.9450791113545,0.3319896341852795,0.0,0.995666599634614,0.6,2.994433350769898,1.5
LV025,raw,Averaging,mll,921.8966119880404,1857.202052686009,0.7674237696270796,0.0,0.2918896698427838,0.6,2.992827378249508,1.5
SV103,raw,Averaging,mll,757.086297570527,1527.5814238509822,0.7904126322040934,0.0,0.5930005142608819,0.6,2.918308496564425,1.5
SV110,raw,Averaging,mll,656.1563264337269,1325.721481577382,0.740472643324103,0.0,0.763835089644031,0.6,2.999960147530337,1.5
SV111,raw,Averaging,mll,908.5570822905128,1830.5229932909533,0.562040718725856,0.0,0.8907556078734737,0.6,2.738485154957392,1.5
SV113,raw,Averaging,mll,788.2802266512426,1589.9692820124135,0.580954247619043,0.0,0.8810884974935356,0.6,2.9015427540314733,1.5
SV119,raw,Averaging,mll,643.8010436656059,1301.01091604114,0.8970331982329969,0.0,0.3627218756100597,0.6,2.951192684654629,1.5
SV201,raw,Averaging,mll,651.1075302345791,1315.6238891790863,0.7702926458290196,0.0,0.6437931770404179,0.6,2.8753479375735544,1.5
SV202,raw,Averaging,mll,506.6716549843728,1026.7521386786736,0.955311936837648,0.0,0.1177491107215127,0.6,2.946025975032231,1.5
SV203,raw,Averaging,mll,571.4290469071202,1156.2669225241686,0.6486423609618497,0.0,0.8815916655531645,0.6,2.938333697290484,1.5
SV204,raw,Averaging,mll,754.5443930910019,1522.497614891932,0.5834775543000855,0.0,0.8263058547087319,0.6,2.149455473741874,1.5
SV205,raw,Averaging,mll,458.7104953810827,930.8298194720936,0.9649836395253372,0.0,0.2952507541343412,0.6,2.919170125010104,1.5
SV206,raw,Averaging,mll,781.3105377999293,1576.0299043097868,0.823380097265914,0.0,0.7750094321783456,0.6,2.119127680916492,1.5
SV207,raw,Averaging,mll,504.8399395623451,1023.0887078346184,0.945716515568394,0.0,0.1951711426975826,0.6,2.991718909474489,1.5
SV208,raw,Averaging,mll,669.4849267239684,1352.3786821578651,0.6929346830502056,0.0,0.8739135368437028,0.6,2.9567012430565005,1.5
SV209,raw,Averaging,mll,607.4713167461877,1228.3514622023035,0.6636522881159754,0.0,0.8817359913892749,0.6,2.740263663997375,1.5
SV210,raw,Averaging,mll,634.8001481185911,1283.0091249471104,0.6305068399655906,0.0,0.8906753757851585,0.6,2.899184973772215,1.5
SV211,raw,Averaging,mll,577.1318940196261,1167.6726167491804,0.8897733765117464,0.0,0.4825776069445649,0.6,2.9707136077358824,1.5
SV212,raw,Averaging,mll,526.2437424242738,1065.896313558476,0.9357655195406394,0.0,0.2337212219180696,0.6,2.9905705862262257,1.5
SV213,raw,Averaging,mll,639.3938594649649,1292.196547639858,0.6766992758020338,0.0,0.820591711388215,0.6,2.9000576053313245,1.5
SV214,raw,Averaging,mll,455.0987324336413,923.6062935772107,0.9566561628030168,0.0,0.231494424990048,0.6,2.9942923757632958,1.5
SV215,raw,Averaging,mll,753.9505602101376,1521.3099491302034,0.7088974284808316,0.0,0.8021831376836853,0.6,2.353676085183314,1.5
SV216,raw,Averaging,mll,677.8369622099499,1369.082753129828,0.8226144438808609,0.0,0.536734314454814,0.6,2.7775797897953467,1.5
LV001,visible,Averaging,mll,235.1756291415595,481.4337853734359,0.8505568838828608,0.0,0.4306628484829794,0.6,2.9792432886740787,1.5
LV002,visible,Averaging,mll,305.8886325083605,622.5735904197566,0.4445137124680054,0.0,0.9360242012040004,0.6,2.27403660512347,1.5
LV003,visible,Averaging,mll,452.5970188150288,917.9131853674024,0.6439178266266504,0.0,0.881573181781045,0.6,2.9293049218505547,1.5
LV005,visible,Averaging,mll,423.8424514893286,860.0859213267426,0.728226912727776,0.0,0.801818763377136,0.6,2.3153656137671,1.5
LV007,visible,Averaging,mll,631.9865619683446,1277.3819526466175,0.8246605945069805,0.0,0.6839111546437173,0.6,2.581219164935688,1.5
LV008,visible,Averaging,mll,140.04463271437055,290.3608623028416,0.8907722842208116,0.0,0.2961628271127499,0.6,2.99328840139092,1.5
LV009,visible,Averaging,mll,282.2658097975275,576.9326379431403,0.9418909586921356,0.0,0.2189156160819394,0.6,2.9922573210363925,1.5
LV011,visible,Averaging,mll,315.6225510354774,642.9029933061752,0.6109096596536583,0.0,0.9965995258187472,0.6,2.997873419764287,1.5
LV015,visible,Averaging,mll,530.4709526280512,1074.2656147371931,0.940895978093048,0.0,0.1565161078658611,0.6,2.974080623789009,1.5
LV016,visible,Averaging,mll,82.01248069998768,173.2749070265439,0.8812687433580321,0.0,0.1479001374118813,0.6,2.9414446809669235,1.5
LV017,visible,Averaging,mll,447.998727109144,909.406282928216,0.9477646861290722,0.0,0.1339262414585463,0.6,2.997482356590655,1.5
LV018,visible,Averaging,mll,581.3935359156567,1176.1959005412416,0.7494428102389598,0.0,0.7704788791361604,0.6,0.246344394105328,1.5
LV019,visible,Averaging,mll,735.4290144984487,1484.22475088843,0.6124413692780108,0.0,0.8761096247710083,0.6,2.80077337124508,1.5
LV020,visible,Averaging,mll,788.4869046658927,1590.3826380417136,0.600547787490685,0.0,0.9930052497753038,0.6,2.9828962892592767,1.5
LV021,visible,Averaging,mll,462.9167515257621,938.8776886478644,0.920821843401959,0.0,0.1842261975872138,0.6,2.994708389022329,1.5
LV022,visible,Averaging,mll,226.92129545495496,465.7800060298807,0.9516346630267658,0.0,0.1486025605082958,0.6,2.9917199629033084,1.5
LV023,visible,Averaging,mll,358.9245914408679,728.9317099720527,0.4980935197361152,0.0,0.8957486981253887,0.6,2.847055259825753,1.5
LV024,visible,Averaging,mll,685.8675397156233,1383.7576137800547,0.2448138287752289,0.0,0.9965038149772808,0.6,2.997813785423707,1.5
LV025,visible,Averaging,mll,218.1186529184436,447.9927774004465,0.9573138073711168,0.0,0.2901861567216642,0.6,2.99107522668516,1.5
SV103,visible,Averaging,mll,722.5045857838695,1458.3758934592715,0.7900970646883556,0.0,0.6062843640074417,0.6,2.741000404929971,1.5
SV110,visible,Averaging,mll,656.1563264337269,1325.721481577382,0.740472643324103,0.0,0.763835089644031,0.6,2.999960147530337,1.5
SV111,visible,Averaging,mll,878.923696300258,1771.2141144920486,0.5564874045549357,0.0,0.8958682415469594,0.6,2.834102825151407,1.5
SV113,visible,Averaging,mll,722.5680436422616,1458.459796765614,0.5853672273165887,0.0,0.8858788793443874,0.6,2.900103245056714,1.5
SV119,visible,Averaging,mll,618.2134535989478,1249.793629089428,0.894055878514233,0.0,0.3628231459298519,0.6,2.9987304569448225,1.5
SV201,visible,Averaging,mll,651.1075302345791,1315.6238891790863,0.7702926458290196,0.0,0.6437931770404179,0.6,2.8753479375735544,1.5
SV202,visible,Averaging,mll,506.6716549843728,1026.7521386786736,0.955311936837648,0.0,0.1177491107215127,0.6,2.946025975032231,1.5
SV203,visible,Averaging,mll,571.4290469071202,1156.2669225241686,0.6486423609618497,0.0,0.8815916655531645,0.6,2.938333697290484,1.5
SV204,visible,Averaging,mll,754.5443930910019,1522.497614891932,0.5834775543000855,0.0,0.8263058547087319,0.6,2.149455473741874,1.5
SV205,visible,Averaging,mll,458.7104953810827,930.8298194720936,0.9649836395253372,0.0,0.2952507541343412,0.6,2.919170125010104,1.5
SV206,visible,Averaging,mll,781.3105377999293,1576.0299043097868,0.823380097265914,0.0,0.7750094321783456,0.6,2.119127680916492,1.5
SV207,visible,Averaging,mll,504.8399395623451,1023.0887078346184,0.945716515568394,0.0,0.1951711426975826,0.6,2.991718909474489,1.5
SV208,visible,Averaging,mll,669.4849267239684,1352.3786821578651,0.6929346830502056,0.0,0.8739135368437028,0.6,2.9567012430565005,1.5
SV209,visible,Averaging,mll,607.4713167461877,1228.3514622023035,0.6636522881159754,0.0,0.8817359913892749,0.6,2.740263663997375,1.5
SV210,visible,Averaging,mll,634.8001481185911,1283.0091249471104,0.6305068399655906,0.0,0.8906753757851585,0.6,2.899184973772215,1.5
SV211,visible,Averaging,mll,577.1318940196261,1167.6726167491804,0.8897733765117464,0.0,0.4825776069445649,0.6,2.9707136077358824,1.5
SV212,visible,Averaging,mll,526.2437424242738,1065.896313558476,0.9357655195406394,0.0,0.2337212219180696,0.6,2.9905705862262257,1.5
